conds)
Cbc0010I After 529147 nodes, 71109 on tree, 11 best solution, best possible 9 (325.95 seconds)
Cbc0010I After 530057 nodes, 71038 on tree, 11 best solution, best possible 9 (326.65 seconds)
Cbc0010I After 530758 nodes, 71152 on tree, 11 best solution, best possible 9 (327.35 seconds)
Cbc0010I After 531590 nodes, 71160 on tree, 11 best solution, best possible 9 (328.05 seconds)
Cbc0010I After 532628 nodes, 70801 on tree, 11 best solution, best possible 9 (328.75 seconds)
Cbc0010I After 533369 nodes, 70749 on tree, 11 best solution, best possible 9 (329.45 seconds)
Cbc0010I After 534153 nodes, 70909 on tree, 11 best solution, best possible 9 (330.16 seconds)
Cbc0010I After 534889 nodes, 71037 on tree, 11 best solution, best possible 9 (330.86 seconds)
Cbc0010I After 535574 nodes, 71169 on tree, 11 best solution, best possible 9 (331.56 seconds)
Cbc0010I After 536662 nodes, 70880 on tree, 11 best solution, best possible 9 (332.26 seconds)
Cbc0010I After 537527 nodes, 70868 on tree, 11 best solution, best possible 9 (332.96 seconds)
Cbc0010I After 538259 nodes, 71002 on tree, 11 best solution, best possible 9 (333.66 seconds)
Cbc0010I After 538941 nodes, 71135 on tree, 11 best solution, best possible 9 (334.36 seconds)
Cbc0010I After 540263 nodes, 70922 on tree, 11 best solution, best possible 9 (335.06 seconds)
Cbc0010I After 541098 nodes, 70929 on tree, 11 best solution, best possible 9 (335.76 seconds)
Cbc0010I After 541808 nodes, 71047 on tree, 11 best solution, best possible 9 (336.46 seconds)
Cbc0010I After 542614 nodes, 71153 on tree, 11 best solution, best possible 9 (337.17 seconds)
Cbc0010I After 543431 nodes, 71166 on tree, 11 best solution, best possible 9 (337.87 seconds)
Cbc0010I After 544497 nodes, 70852 on tree, 11 best solution, best possible 9 (338.57 seconds)
Cbc0010I After 545161 nodes, 70885 on tree, 11 best solution, best possible 9 (339.27 seconds)
Cbc0010I After 545784 nodes, 71016 on tree, 11 best solution, best possible 9 (339.97 seconds)
Cbc0010I After 546404 nodes, 71114 on tree, 11 best solution, best possible 9 (340.67 seconds)
Cbc0010I After 547102 nodes, 71199 on tree, 11 best solution, best possible 9 (341.37 seconds)
Cbc0010I After 548470 nodes, 70714 on tree, 11 best solution, best possible 9 (342.07 seconds)
Cbc0010I After 549253 nodes, 70757 on tree, 11 best solution, best possible 9 (342.77 seconds)
